epoch,bee_id,task_id,accuracies
0,1,1,0.1073
0,1,2,0.1
0,1,3,0.19403042409342347
0,1,4,0.1243
0,1,5,0.0011058277120424638
0,2,1,0.1513
0,2,2,0.0991
0,2,3,0.1954517516902274
0,2,4,0.1093
0,2,5,0.028530354970695566
0,3,1,0.081
0,3,2,0.1271
0,3,3,0.09323140749846343
0,3,4,0.0805
0,3,5,0.0
0,4,1,0.1123
0,4,2,0.1019
0,4,3,0.0641902274124155
0,4,4,0.2115
0,4,5,0.0
0,5,1,0.1218
0,5,2,0.1084
0,5,3,0.08205285802089736
0,5,4,0.1215
0,5,5,0.0
1,1,1,0.1073
1,1,2,0.1
1,1,3,0.19403042409342347
1,1,4,0.1243
1,1,5,0.0011058277120424638
1,2,1,0.1063
1,2,2,0.1261
1,2,3,0.12173478795328826
1,2,4,0.1332
1,2,5,0.027645692801061595
1,3,1,0.081
1,3,2,0.1271
1,3,3,0.09323140749846343
1,3,4,0.0805
1,3,5,0.0
1,4,1,0.0812
1,4,2,0.0878
1,4,3,0.07897971727105102
1,4,4,0.0903
1,4,5,0.0005529138560212319
1,5,1,0.1218
1,5,2,0.1084
1,5,3,0.08205285802089736
1,5,4,0.1215
1,5,5,0.0
2,1,1,0.1073
2,1,2,0.1
2,1,3,0.19403042409342347
2,1,4,0.1243
2,1,5,0.0011058277120424638
2,2,1,0.1063
2,2,2,0.1261
2,2,3,0.12173478795328826
2,2,4,0.1332
2,2,5,0.027645692801061595
2,3,1,0.081
2,3,2,0.1271
2,3,3,0.09323140749846343
2,3,4,0.0805
2,3,5,0.0
2,4,1,0.0812
2,4,2,0.0878
2,4,3,0.07897971727105102
2,4,4,0.0903
2,4,5,0.0005529138560212319
2,5,1,0.1135
2,5,2,0.1
2,5,3,0.1958743085433313
2,5,4,0.1
2,5,5,0.03151608979321022
3,1,1,0.1073
3,1,2,0.1
3,1,3,0.19403042409342347
3,1,4,0.1243
3,1,5,0.0011058277120424638
3,2,1,0.0982
3,2,2,0.1
3,2,3,0.09691917639827904
3,2,4,0.1
3,2,5,0.08050425743669136
3,3,1,0.081
3,3,2,0.1271
3,3,3,0.09323140749846343
3,3,4,0.0805
3,3,5,0.0
3,4,1,0.0812
